"RT51","1 Piece | RT Series","Forged Mono-block","CAAC1,CAAC2","Y",\N
"RT52","1 Piece | RT Series","Forged Mono-block","CAAC1,CAAC2","Y",\N
"RT53","1 Piece | RT Series","Forged Mono-block","CAAC1,CAAC2","Y",\N
"SN01","B Type | SN Series","H Beam Spoke Structure","01,02,03","Y",\N
"SN02","B Type | SN Series","H Beam Spoke Structure","01,02,03","Y",\N
"SN03","B Type | SN Series","H Beam Spoke Structure","01,02,03","Y",\N
"SN05","B Type | SN Series","H Beam Spoke Structure","01,02,03","Y",\N
"SN06","B Type | SN Series","H Beam Spoke Structure","01,02,03","Y",\N
"SN13","B Type | SN Series","H Beam Spoke Structure","01,02,03","Y",\N
"TM04","B Type | TM Series","Advance Concave Design","01,02,03","Y",\N
"TM05","B Type | TM Series","Advance Concave Design","01,02,03","Y",\N
"TM08","B Type | TM Series","Advance Concave Design","01,02,03","Y",\N
"TM14","B Type | TM Series","Advance Concave Design","01,02,03","Y",\N
