"8873","178","83","10",\N,\N,\N
"8874","179","83",\N,\N,\N,\N
"8875","180","297",\N,\N,\N,\N
"8876","181","332",\N,\N,\N,\N
"8877","182","332",\N,\N,\N,\N
"8878","183","332",\N,\N,\N,\N
"8879","184","332",\N,\N,\N,\N
"8880","185","332",\N,\N,\N,\N
"8881","186","332",\N,\N,\N,\N
"8882","187","297",\N,\N,\N,\N
"8883","188","332",\N,\N,\N,\N
"8884","189","297",\N,\N,\N,\N
"8885","190","297",\N,\N,\N,\N
"8886","191","297",\N,\N,\N,\N
"8887","192","332",\N,\N,\N,\N
"8888","193","332",\N,\N,\N,\N
"8889","194","408",\N,\N,\N,\N
"8890","195","381",\N,\N,\N,\N
"8891","196","381",\N,\N,\N,\N
"8892","197","381",\N,\N,\N,\N
"8893","198","381",\N,\N,\N,\N
"8894","199","381",\N,\N,\N,\N
"8895","200","381",\N,\N,\N,\N
"8896","201","176",\N,\N,\N,\N
"8897","202","176",\N,\N,\N,\N
"8898","203","176",\N,\N,\N,\N
"8899","205","176",\N,\N,\N,\N
"8900","207","176",\N,\N,\N,\N
"8901","208","233",\N,\N,\N,\N
"8902","209","233",\N,\N,\N,\N
"8903","210","233",\N,\N,\N,\N
"8904","211","233",\N,\N,\N,\N
"8905","212","233",\N,\N,\N,\N
"8906","213","233",\N,\N,\N,\N
"8907","214","233",\N,\N,\N,\N
"8908","215","233",\N,\N,\N,\N
"8909","216","233",\N,\N,\N,\N
"8910","217","397",\N,\N,\N,\N
"8911","218","267",\N,\N,\N,\N
"8912","219","267",\N,\N,\N,\N
"8913","220","321",\N,\N,\N,\N
"8914","221","321",\N,\N,\N,\N
"8915","222","606","607",\N,\N,\N
"8916","223","321",\N,\N,\N,\N
"8917","224","321",\N,\N,\N,\N
"8918","225","321",\N,\N,\N,\N
"8919","226","321",\N,\N,\N,\N
"8920","227","321",\N,\N,\N,\N
"8921","228","321",\N,\N,\N,\N
"8922","229","225",\N,\N,\N,\N
"8923","230","225",\N,\N,\N,\N
"8924","231","225",\N,\N,\N,\N
"8925","232","225",\N,\N,\N,\N
"8926","233","225",\N,\N,\N,\N
"8927","234","225",\N,\N,\N,\N
"8928","235","225",\N,\N,\N,\N
"8929","236","225",\N,\N,\N,\N
