BC Forged Wheels,BC Forged Wheels,0,/BCWheels/HC053S-CBMBX.jpg,"<div class='infobox_container'>

 <div class='infobox halfbox'>
  <h2>All prices are fully inclusive</h2>
  <p>All of the prices of BC Forged Wheels on this website are fully inclusive.</p>
  <p>That means that all Shipping Charges, Insurance, Customs Import Duty and GST are all included in the price, there is absolutely nothing else to pay!</p>
  <p>And when we say that shipping is included, we mean right to your front door.</p>
 </div>

 <div class='infobox halfbox'>
  <h2>Find Out More</h2>
  <p>If you would like to learn about:</p>
  <ul class='infobox_list'>
   <li>Cast vs Forged Wheels<li>
   <li>Why Weight is so important</li>
   <li>How BC Forged Wheels are made</li>
  </ul>
  <p>Then please visit</p>
  <a class='tpbutton'>BC Forged Wheels Info</a>
 </div>

 <div class='infobox halfbox'>
  <h2>Custom Made to Order</h2>
  <p>All BC Forged Wheels are custom-made to your specifications.</p>
  <p>You specify all dimensions and options for your wheels&#44; and then once your order is placed&#44; your wheels will be on your doorstep within 30 days!</p>
 </div>

 <div class='infobox halfbox'>
  <h2>Many Styles and Colours</h2>
  <p>Each Series presented below has a range of styles available, not just the style shown in the picture</p>
  <p>Each style of wheel has a wide range of colour and finishing options available</p>
 </div>


</div>",\N,\N,\N,,Y,\N
BC Forged Wheels^BL Series,BL Series,BL Series,/BCWheels/BL01.jpg,<div class='infobox_container'><div class='infobox fullbox bcfwtitle'><h3>B Type | BL Series</h3><h3>Deep Concave Design with Maximum Spoke</h3></div></div>,\N,\N,\N,160,Y,\N
BC Forged Wheels^BS Series,BS Series,BS Series,/BCWheels/BS01.jpg,<div class='infobox_container'><div class='infobox fullbox bcfwtitle'><h3>B Type | BS Series</h3><h3>Exclusive Sport Design</h3></div></div>,\N,\N,\N,120,Y,\N
BC Forged Wheels^BX Series,BX Series,BX Series,/BCWheels/BX04.jpg,<div class='infobox_container'><div class='infobox fullbox bcfwtitle'><h3>B Type | BX Series</h3><h3>Exotic Concave Design</h3></div></div>,\N,\N,\N,200,Y,\N
BC Forged Wheels^BX-J Series,BX-J Series,BX-J Series,/BCWheels/BX-J62.jpg,<div class='infobox_container'><div class='infobox fullbox bcfwtitle'><h3>B Type | BX-J Series</h3><h3>Exotic Concave Design</h3></div></div>,\N,\N,\N,210,Y,\N
BC Forged Wheels^FJ Series,FJ Series,FJ Series,/BCWheels/FJ08.jpg,<div class='infobox_container'><div class='infobox fullbox bcfwtitle'><h3>B Type | FJ Series</h3><h3>Advance Sport Design</h3></div></div>,\N,\N,\N,100,Y,\N
BC Forged Wheels^HB Series,HB Series,HB Series,/BCWheels/HB09_-GBBBX.jpg,<div class='infobox_container'><div class='infobox fullbox bcfwtitle'><h3>B Type | HB Series</h3><h3>Deep Concave Design with Maximum Spoke</h3></div></div>,\N,\N,\N,140,Y,\N
BC Forged Wheels^HB-R Series,HB-R Series,HB-R Series,/BCWheels/HB-R6.jpg,<div class='infobox_container'><div class='infobox fullbox bcfwtitle'><h3>B Type | HB-R Series</h3><h3>Deep Concave Design with Maximum Spoke</h3></div></div>,\N,\N,\N,190,Y,\N
BC Forged Wheels^HB-S Series,HB-S Series,HB-S Series,/BCWheels/HB-S03_-MBX.jpg,<div class='infobox_container'><div class='infobox fullbox bcfwtitle'><h3>B Type | HB-S Series</h3><h3>Deep Concave Design with Maximum Spoke</h3></div></div>,\N,\N,\N,180,Y,\N
BC Forged Wheels^HB-Z Series,HB-Z Series,HB-Z Series,/BCWheels/HB-Z10.jpg,<div class='infobox_container'><div class='infobox fullbox bcfwtitle'><h3>B Type | HB-Z Series</h3><h3>Deep Concave Design with Maximum Spoke</h3></div></div>,\N,\N,\N,150,Y,\N
BC Forged Wheels^HC Series,HC Series,HC Series,/BCWheels/HC040_-GBCOX.jpg,<div class='infobox_container'><div class='infobox fullbox bcfwtitle'><h3>B Type | HC Series</h3><h3>Step Lip &amp; Deep Concave Design</h3></div></div>,\N,\N,\N,220,Y,\N
BC Forged Wheels^HCS Series,HCS Series,HCS Series,/BCWheels/HCS03S.jpg,<div class='infobox_container'><div class='infobox fullbox bcfwtitle'><h3>B Type | HCS Series</h3><h3>Step Lip &amp; Deep Concave Design</h3></div></div>,\N,\N,\N,230,Y,\N
BC Forged Wheels^RA Series,RA Series,RA Series,/BCWheels/RA01BX.jpg,<div class='infobox_container'><div class='infobox fullbox bcfwtitle'><h3>C Type | RA Series</h3><h3>Track &amp; Drift Design</h3></div></div>,\N,\N,\N,110,Y,\N
BC Forged Wheels^RS Series,RS Series,RS Series,/BCWheels/RS40_-COX.jpg,<div class='infobox_container'><div class='infobox fullbox bcfwtitle'><h3>1 Piece | RS Series</h3><h3>Forged Mono-block</h3></div></div>,\N,\N,\N,20,Y,\N
BC Forged Wheels^RT Series,RT Series,RT Series,/BCWheels/RT50.jpg,<div class='infobox_container'><div class='infobox fullbox bcfwtitle'><h3>1 Piece | RT Series</h3><h3>Forged Mono-block</h3></div></div>,\N,\N,\N,10,Y,\N
BC Forged Wheels^SN Series,SN Series,SN Series,/BCWheels/SN01_-MSGX.jpg,<div class='infobox_container'><div class='infobox fullbox bcfwtitle'><h3>B Type | SN Series</h3><h3>H Beam Spoke Structure</h3></div></div>,\N,\N,\N,130,Y,\N
BC Forged Wheels^TM Series,TM Series,TM Series,/BCWheels/TM08-RMBX.jpg,<div class='infobox_container'><div class='infobox fullbox bcfwtitle'><h3>B Type | TM Series</h3><h3>Advance Concave Design</h3></div></div>,\N,\N,\N,170,Y,\N
BC Racing Coilovers,BC Racing Coilovers,0,/BC Wheels/BCRacingCoilovers.jpg,,\N,\N,\N,,Y,\N
Bluefin,Bluefin,0,/Superchips/bluefin_header.jpg,<div class='infobox_container'><div class='infobox halfbox'><h2>Looking for a Bluefin?</h2><p>The best way to find the right Bluefin for your car is to visit the <a href=/FindStuffForMyCar>Find Stuff For My Car</a> section of our website</p></div><div class='infobox halfbox'><h2>What is Bluefin and how does it work?</h2><p>Take a look at our <a href=/BluefinInformation>Bluefin Information Page</a></p></div></div>,\N,\N,\N,,Y,\N
BMC Air Filters,BMC Air Filters,0,/BMC Air Filters/BMC Banner.jpg,"<div class='linkbox_container'>  <div class='linkbox bmcairbox'>    <a href='/BMCReplacementFilters'></a>    <div class='description'>      <p class='description_content'>BMC Air Filters Info</p>    </div>  </div>    <div class='linkbox bmccaibox'>    <a href='/BMCColdAirIntakes'></a>    <div class='description'>      <p class='description_content'>BMC CAI Info</p>    </div>  </div></div><div class='infobox_container notopmargin'><div class='infobox fullbox'><p>In this section, you can browse all <b>BMC Air Filters</b> Products</p>
<p>If you want to find <b>BMC Air Filters</b> Products specifically for your car, then please visit</p>
<a class='tpbutton' href='/FindStuffForMyCar'>Find Stuff For My Car</a>

</div></div>",\N,\N,\N,,Y,\N
BMC Air Filters^Bikes,Bikes,0,/BMC Air Filters/Bikes.jpg,"<div class='infobox_container'><div class='infobox fullbox longbox'>    <div class='longbox_pic'>
      <img src='images/Tigersoft Performance/bike_filter.JPG' alt='BMC Bike Filters at Tigersoft Performance' />
    </div>
    <div class='longbox_text'>
      <h2>Bike Filters</h2>
      <p>The knowledge and experience gained on track is transferred to street production in order to offer performance products, tested and in continuous evolution, designed to satisfy the requirements of the most demanding motorcyclists. The materials used in production are of the highest standard: filters are made in one single piece with no welded joints thus avoiding breakage; the filtering material is composed of a special cotton gauze soaked with low viscosity oil and covered with an epoxy coated alloy mesh to ensure protection from petrol fumes and oxidization due to air humidity. Furthermore the cotton has the advantage of being washable and therefore reusable. In this way BMC air filters guarantee superior air capacity in respect to traditional paper filters enabling minimum loss of power in the air flow and therefore obtaining better performance from the engine.</p></div></div>",\N,\N,\N,20,Y,\N
BMC Air Filters^Bikes^Bike Filters for Direct Induction,Bike Filters for Direct Induction,BIKE FILTER FOR DIRECT INDUCTION,/BMC Air Filters/BikeDirectInduction.jpeg,,\N,\N,\N,20,Y,\N
BMC Air Filters^Bikes^CRF – Carbon Racing Filters – Bikes,CRF – Carbon Racing Filters – Bikes,CRF - CARBON RACING FILTERS - BIKES,/BMC Air Filters/CRFprotector.JPG,,\N,\N,\N,30,Y,\N
BMC Air Filters^Bikes^Standard Bike Filters,Standard Bike Filters,STANDARD BIKE FILTERS,/BMC Air Filters/bike_filter.JPG,,\N,\N,\N,10,Y,\N
BMC Air Filters^BMC Accessories,BMC Accessories,BMC ACCESSORIES,/BMC Air Filters/cdaaccessories.JPG,,\N,\N,\N,30,Y,\N
BMC Air Filters^Cars,Cars,0,/BMC Air Filters/Cars.jpg,,\N,\N,\N,10,Y,\N
BMC Air Filters^Cars^Air Filters,Air Filters,,/BMC Air Filters/SingleAir.jpg,,\N,\N,\N,10,Y,\N
BMC Air Filters^Cars^Air Filters^Conical Filters,Conical Filters,,/BMC Air Filters/SingleAir.jpg,,\N,\N,\N,20,Y,\N
BMC Air Filters^Cars^Air Filters^Conical Filters^Single Air Filters,Single Air Filters,SINGLE AIR FILTER,/BMC Air Filters/SingleAir.jpg,,\N,\N,\N,10,Y,\N
BMC Air Filters^Cars^Air Filters^Conical Filters^Specific Kits,Specific Kits,SPECIFIC KITS,/BMC Air Filters/SpecificKits.jpeg,,\N,\N,\N,30,Y,\N
BMC Air Filters^Cars^Air Filters^Conical Filters^Twin Air Filters,Twin Air Filters,TWIN AIR FILTER,/BMC Air Filters/TwinAir.jpg,,\N,\N,\N,20,Y,\N
BMC Air Filters^Cars^Air Filters^Replacement Air Filters,Replacement Air Filters,CAR FILTERS,/BMC Air Filters/filtro_piatto.JPG,,\N,\N,\N,10,Y,\N
BMC Air Filters^Cars^Cold Air Intakes,Cold Air Intakes,0,/BMC Air Filters/BMCCAI.jpg,,\N,\N,\N,20,Y,\N
BMC Air Filters^Cars^Cold Air Intakes^CDA – Carbon Dynamic Airbox,CDA – Carbon Dynamic Airbox,CDA - CARBON DYNAMIC AIRBOX,/BMC Air Filters/cdabox.JPG,,\N,\N,\N,20,Y,\N
BMC Air Filters^Cars^Cold Air Intakes^CDA – Carbon Dynamic Airbox,CDA – Carbon Dynamic Airbox,CDA - CARBON DYNAMIC AIRBOX – CARS,/BMC Air Filters/cdabox.JPG,,\N,\N,\N,20,Y,\N
BMC Air Filters^Cars^Cold Air Intakes^CRF – Carbon Racing Filters,CRF – Carbon Racing Filters,CRF - CARBON RACING FILTERS - CARS,/BMC Air Filters/CRFprotector.JPG,,\N,\N,\N,40,Y,\N
