"19","ACCDASP-11","BMC CDA S/AIRBOX 81/150/200 (CDASP-11)","236.25","472.5","CDA - CARBON DYNAMIC AIRBOX",\N,"D1 (mm)","81","D2 (mm)","150","L1 (mm)","200","/cgi-bin/Images/Product/SingoloCDA .jpg","/cgi-bin/Images/Product/CDASP.jpg","Y","no comments"
"20","ACCDASP-12","BMC CDA S/AIRBOX 80/150/260 (CDASP-12)","279.25","558.5","CDA - CARBON DYNAMIC AIRBOX",\N,"L1 (mm)","260","D1 (mm)","150","","","/cgi-bin/Images/Product/sp05lat.jpg","/cgi-bin/Images/Product/CDA_DEBIMETRO2.JPG","Y","no comments"
"21","ACCDASP-13S","BMC CDA S/AIRBOX SP/150/160 (CDASP-13S)","279.25","558.5","CDA - CARBON DYNAMIC AIRBOX",\N,"","","","","","","/cgi-bin/Images/Product/CDA SP13S ENG2.JPG","/cgi-bin/Images/Product/CDAStandard.jpg","Y","no comments"
"22","ACCDASP-14","BMC CDA S/AIRBOX 70/150/200 (CDASP-14)","279.25","558.5","CDA - CARBON DYNAMIC AIRBOX",\N,"D1 (mm)","70","D2 (mm)","150","L1 (mm)","200","/cgi-bin/Images/Product/SingoloCDA .jpg","/cgi-bin/Images/Product/CDAStandard.jpg","Y","no comments"
"23","ACCDASP-16","BMC CDA S/AIRBOX 60/130/185 (CDASP-16)","279.25","558.5","CDA - CARBON DYNAMIC AIRBOX",\N,"D1 (mm)","60","D2 (mm)","130","L1 (mm)","185","/cgi-bin/Images/Product/SingoloCDA .jpg","/cgi-bin/Images/Product/CDAStandard.jpg","Y","no comments"
"24","ACCDASP-17","BMC CDA S/AIRBOX 87/150/260 (CDASP-17)","279.25","558.5","CDA - CARBON DYNAMIC AIRBOX",\N,"D1 (mm)","87","D2 (mm)","150","L1 (mm)","260","/cgi-bin/Images/Product/debimetro.jpg","/cgi-bin/Images/Product/CDASP.jpg","Y","no comments"
"25","ACCDASP-19","BMC CDA S/AIRBOX 70/130/185 (CDASP-19)","204.03","408.06","CDA - CARBON DYNAMIC AIRBOX",\N,"","","","","","","/cgi-bin/Images/Product/CoppiaCDA%20SP20.jpg","/cgi-bin/Images/Product/cda2SP20.jpg","Y","no comments"
"26","ACCDASP-20","BMC CDA S/AIRBOX 70/150/160 (CDASP-20)","247.02","494.04","CDA - CARBON DYNAMIC AIRBOX",\N,"D1 (mm)","70","D2 (mm)","150","L1 (mm)","160","/cgi-bin/Images/Product/CoppiaCDA SP20.jpg","/cgi-bin/Images/Product/cda2SP20.jpg","Y","no comments"
"27","ACCDASP-21","BMC CDA S/AIRBOX SP/150/160 (CDASP-21)","300.7","601.4","CDA - CARBON DYNAMIC AIRBOX",\N,"","","","","","","/cgi-bin/Images/Product/CoppiaCDA%20SP20.jpg","/cgi-bin/Images/Product/cda2SP20.jpg","Y","no comments"
"28","ACCDASP-22","BMC CDA S/AIRBOX 85/150/200 (CDASP-22)","247.02","494.04","CDA - CARBON DYNAMIC AIRBOX",\N,"D1 (mm)","85","D2 (mm)","150","L1 (mm)","200","/cgi-bin/Images/Product/CoppiaCDA%20SP20.jpg","/cgi-bin/Images/Product/cda2SP20.jpg","Y","no comments"
"29","ACCDASP-26","BMC CDA S/AIRBOX 70/150/200 (CDA SP-26) MINI COOPER S SERIES II","279.25","558.5","CDA - CARBON DYNAMIC AIRBOX",\N,"D1 (mm)","85","D2 (mm)","150","L1 (mm)","200","/cgi-bin/Images/Product/mini (25).JPG","/cgi-bin/Images/Product/cda2SP20.jpg","Y","no comments"
"30","ACCDASP-28","BMC CDA S/AIRBOX SPECIFIC 150/200 (CDA SP-28) MITS. LANCER EVO IX","279.25","558.5","CDA - CARBON DYNAMIC AIRBOX",\N,"","","","","","","/cgi-bin/Images/Product/KIT CDASP_28 EVO9 2.JPG","/cgi-bin/Images/Product/cda2SP20.jpg","Y","no comments"
"31","ACCDASP-30","BMC CDA S/AIRBOX 76/150/160 (CDA SP-30) SUBARU IMPREZA Sti 05>08","451.05","902.1","CDA - CARBON DYNAMIC AIRBOX",\N,"D1 (mm)","76","D2 (mm)","150","L1 (mm)","160","/cgi-bin/Images/Product/CDASP-30 STI.JPG","/cgi-bin/Images/Product/cda2SP20.jpg","Y","no comments"
"32","ACCDASP-31","BMC CDA S/AIRBOX 80/150/200 (CDA SP-31) FORD FOCUS ST 225HP","279.25","558.5","CDA - CARBON DYNAMIC AIRBOX",\N,"D1 (mm)","80","D2 (mm)","150","L1 (mm)","200","/cgi-bin/Images/Product/KIT CDASP_31 FORD FOCUS 2.5 ST.jpg","/cgi-bin/Images/Product/cda%201.jpg","Y","no comments"
"33","ACCDASP-33","BMC CDA S/AIRBOX 87/150/200 (CDA SP-33) ALFA ROMEO 147/156 V6 GTA","247.02","494.04","CDA - CARBON DYNAMIC AIRBOX",\N,"D1 (mm)","87","D2 (mm)","150","L1 (mm)","200","/cgi-bin/Images/Product/KIT CDASP_33 ALFA ROMEO 3.2 GTA.jpg","/cgi-bin/Images/Product/cda2SP20.jpg","Y","no comments"
"34","ACCDASP-37","BMC CDA S/AIRBOX 70/150/160 (CDA SP-37) OPEL CORSA / HOLDEN BARINA","247.02","494.04","CDA - CARBON DYNAMIC AIRBOX",\N,"D1 (mm)","70","D2 (mm)","150","L1 (mm)","160","/cgi-bin/Images/Product/KIT CDASP_37 OPEL CORSA OPC.jpg","/cgi-bin/Images/Product/cda2SP20.jpg","Y","no comments"
"35","ACCDASP-39","BMC CDA S/AIRBOX 70/150/200 (CDA SP-39) VW GOLF 1.4 TSI","247.02","494.04","CDA - CARBON DYNAMIC AIRBOX",\N,"D1 (mm)","70","D2 (mm)","150","L1 (mm)","200","/cgi-bin/Images/Product/KIT CDASP_39 VW GOLF 1.4 16V 140CV.jpg","/cgi-bin/Images/Product/cda2SP20.jpg","Y","no comments"
"36","ACCDASP-45","BMC CDA S/AIRBOX 100/150/400 (CDASP-45) HONDA S2000 *NEW*","370.53","741.06","CDA - CARBON DYNAMIC AIRBOX",\N,"D1 (mm)","100","D2 (mm)","150","L1 (mm)","400","/cgi-bin/Images/Product/PROV.jpg","/cgi-bin/Images/Product/cda 1.jpg","Y","no comments"
"37","ACOTA70/85L170-B","BMC OTA AIRBOX 70/85/170 (ACOTA70/85L170-B)","294.84","589.68","OTA - OVAL TRUMPET AIRBOX",\N,"&Oslash;1 (mm)","82","&Oslash;2 (mm)","85","L (mm)","235","/cgi-bin/Images/Product/BMC_OTA_Carbonio.JPG","/cgi-bin/images/product/ota_tech_over.jpg","Y","no comments"
"38","ACOTA70/85L170-B-WP","BMC OTA TRUMPET AIR BOX","294.84","589.68","OTA - OVAL TRUMPET AIRBOX",\N,"&Oslash;1 (mm)","82","&Oslash;2 (mm)","85","L (mm)","235","/cgi-bin/Images/Product/BMC_OTA_Carbonio.JPG","/cgi-bin/images/product/ota_tech_over.jpg","Y","no comments"
"39","ACOTA70/85L200-B","BMC OTA AIRBOX 70/85/200 (ACOTA70/85L200-B)","316.29","632.58","OTA - OVAL TRUMPET AIRBOX",\N,"&Oslash;1 (mm)","82","&Oslash;2 (mm)","85","L (mm)","265","/cgi-bin/Images/Product/BMC_OTA_Carbonio.JPG","/cgi-bin/images/product/ota_tech_over.jpg","Y","no comments"
"40","ACOTA70/85L230-B-WP","BMC OTA AIRBOX 70/85/230 (ACOTA70/85L230-B)","332.36","664.72","OTA - OVAL TRUMPET AIRBOX",\N,"&Oslash;1 (mm)","82","&Oslash;2 (mm)","85","L (mm)","295","/cgi-bin/Images/Product/BMC_OTA_Carbonio.JPG","/cgi-bin/images/product/ota_tech_over.jpg","Y","no comments"
"41","ACOTARI-200","BMC OTA REPLACEMENT FILTER ELEMENT","122.5","225","OTA - OVAL TRUMPET AIRBOX",\N,"L1 (mm)","200","","","","","/cgi-bin/Images/Product/BMC_OTA_Opensmall.jpg.JPG","/cgi-bin/images/cat/ota_details_3d.jpg","Y","no comments"
