"ACCDA100-150","BMC CDA AIRBOX 100/150/200 (CDA100-150) **NEW**","251.8400","503.6800","503.6800","Y","0000-00-00",""
"ACCDA100-220","BMC CDA AIRBOX","680.0000","1360.0000","1360.0000","Y","2014-12-15","Due into stock December 2014"
"ACCDA120-260MUSCLE","BMC FILTER","645.0000","1290.0000","1290.0000","Y","2015-02-15","Due into stock February 2015"
"ACCDA70-130","BMC CDA AIRBOX 70/130/185 (CDA70-130)","203.5500","407.1000","407.1000","Y","0000-00-00",""
"ACCDA70-130SILVER","BMC CDA AIR BOX 70/130/185MM - SILVER","203.5500","407.1000","407.1000","Y","0000-00-00",""
"ACCDA85-150","BMC CDA AIRBOX 85/150/200 (CDA85-150)","199.0000","460.7800","460.7800","Y","0000-00-00",""
"ACCDA85-150SILVER","BMC CDA AIR BOX 85/150/200MM - SILVER","230.3900","460.7800","460.7800","Y","0000-00-00",""
"ACCDARI-130","BMC CDA REPL FILTER  (CDARI-130)","99.4100","198.8200","198.8200","Y","0000-00-00",""
"ACCDARI-150","BMC CDA REPL FILTER  (CDARI-150)","115.4800","230.9600","230.9600","Y","0000-00-00",""
"ACCDARI-150-110","BMC CDA REPL FILTER  (CDARI-150-110)","115.4800","230.9600","230.9600","Y","0000-00-00",""
"ACCDARI-150-110-017","BMC CDA REPL FILTER (CDARI-150-110-017)","115.4800","230.9600","230.9600","Y","0000-00-00",""
"ACCDASP-01","BMC CDA S/AIRBOX 80/150/200 (CDASP-01)","236.2500","472.5000","472.5000","Y","0000-00-00",""
"ACCDASP-02","BMC CDA S/AIRBOX 80/150/260 (CDASP-02)","279.2500","558.5000","558.5000","Y","0000-00-00",""
"ACCDASP-03","BMC CDA S/AIRBOX 92/150/260 (CDASP-03)","279.2500","558.5000","558.5000","Y","0000-00-00",""
"ACCDASP-05","BMC CDA S/AIRBOX 70/150/200 (CDASP-05)","279.2500","558.5000","558.5000","Y","0000-00-00",""
"ACCDASP-06","BMC CDA S/AIRBOX 100/186/236 (CDASP-06)","800.0400","1600.0800","1600.0800","Y","0000-00-00",""
"ACCDASP-07","BMC CDA S/AIRBOX 85/150/160 (CDASP-07)","236.2500","472.5000","472.5000","Y","0000-00-00",""
