"123","BMW","3","3 Series (E90/E91/E92)","161416"
"124","BMW","3","3 Series (E90/E91/E92/E93)","161401"
"125","BMW","3","3 Series (E90/E92)","161414"
"126","BMW","3","3 Series (F30/F31/F80)","161423"
"127","BMW","3","3 Series CABRIOLET (E93)","3622"
"128","BMW","3","3 Series COUPE' (E92)","3621"
"129","BMW","3","3 Series GT (F34)","161430"
"130","BMW","3","3 Series TOURING (E91)","3620"
"131","BMW","3","4 Series (F32/F33/F36/F82)","161424"
"132","BMW","3","5 Series (E12)","161413"
"133","BMW","3","5 Series (E34)","161392"
"134","BMW","3","5 Series (E39)","11723"
"135","BMW","3","5 Series (E60)","161403"
"136","BMW","3","5 Series (E60/E61)","161402"
"137","BMW","3","5 Series (F10/F11/F18)","161419"
"138","BMW","3","5 Series GT (F07)","161425"
"139","BMW","3","5 Series TOURING (E61)","161404"
"140","BMW","3","6 Series (E63/E64)","161409"
"141","BMW","3","6 Series (F12/F13)","161421"
"142","BMW","3","6 Series Gran Coupè (F06)","161422"
"143","BMW","3","7 Series (E32)","161393"
"144","BMW","3","7 Series (E38)","11736"
"145","BMW","3","7 Series (E65)","161405"
"146","BMW","3","7 Series (F01/F02/F03/F04)","161420"
"147","BMW","3","7 Series LONG (E66)","161406"
"148","BMW","3","8 Series (E31)","161394"
"149","BMW","3","X 1 (E84)","161417"
"150","BMW","3","X 3 (E83)","161398"
"151","BMW","3","X 3 (F25)","161426"
"152","BMW","3","X 4 (F26)","161428"
"153","BMW","3","X 5 (E53)","11745"
"154","BMW","3","X 5 (E70)","161407"
"155","BMW","3","X 5 (F15)","161427"
"156","BMW","3","X 6 (E71)","161408"
"157","BMW","3","Z 1 ROADSTER (E30)","161397"
"158","BMW","3","Z 3 COUPE' (E36/8)","161399"
"159","BMW","3","Z 3 ROADSTER (E36/7)","11749"
"160","BMW","3","Z 4 (E85/E86)","161410"
"161","BMW","3","Z 4 (E89)","161418"
"162","BMW","3","Z 4 ROADSTER (E85)","11751"
"163","BMW","3","Z 8 (E52)","161395"
"164","BUICK","102","APOLLO","161433"
"165","BUICK","102","CENTURION","161434"
"166","BUICK","102","CENTURY","161435"
"167","BUICK","102","ELECTRA","161436"
"168","BUICK","102","ESTATE WAGON","161437"
"169","BUICK","102","EXCELLENCE XT","161449"
"170","BUICK","102","GS 350","161438"
"171","BUICK","102","GS 400","161439"
"172","BUICK","102","GS 455","161440"
"173","BUICK","102","LESABRE","161441"
"174","BUICK","102","REGAL I","161442"
"175","BUICK","102","REGAL V","161448"
"176","BUICK","102","RIVIERA","161443"
"177","BUICK","102","SAIL","161432"
"178","BUICK","102","SKYLARK","161444"
"179","BUICK","102","SPECIAL","161445"
"180","BUICK","102","SPORTWAGON","161446"
"181","BUICK","102","WILDCAT","161447"
"182","ABARTH","116","500","13650"
"183","ABARTH","116","500 / C","161310"
"184","ABARTH","116","GRANDE PUNTO","11615"
"185","ABARTH","116","PUNTO EVO","11616"
"186","ABARTH","116","STILO","161311"
"187","CADILLAC","76","BLS","161451"
"188","CADILLAC","76","CATERA","161452"
"189","CADILLAC","76","CTS-V","161450"
"190","CADILLAC","76","ELDORADO","161453"
"191","CADILLAC","76","SEVILLE","161454"
"192","CADILLAC","76","XLR","161455"
"193","CHEVROLET","61","ASCONA","161463"
"194","CHEVROLET","61","ASTRA I","161459"
